age_range,gender,semester_year,academic_stress,financial_stress,family_stress,career_stress,time_management_stress,relationship_stress,study_motivation,screen_time,family_support,teacher_support,loneliness,semester_break_thought,last_semester_gpa,current_cgpa,class_attendance,study_hours,academic_backlog,result_drop,tuition_pressure,part_time_work_effect,pressure_for_marriage,continue_study_if_married
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,বেশি,সামান্য/নেই,সামান্য/নেই,মাঝারি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,2.50–2.99,2.50–2.99,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,"Yes, significantly / হ্যাঁ, অনেক কমেছে",Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Definitely continue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,বেশি,বেশি,বেশি,বেশি,বেশি,বেশি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Disagree / অসম্মত,Sometimes / মাঝে মাঝে,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Very high / খুব বেশি,1–2 hours / ১–২ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Probably discontinue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Strongly disagree / সম্পূর্ণ অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Not sure
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,"মাঝারি, বেশি","সামান্য/নেই, মাঝারি",সামান্য/নেই,মাঝারি,বেশি,সামান্য/নেই,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Disagree / অসম্মত,No / না,3.00–3.49,3.00–3.49,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,"Yes, it moderately affects my study / করি, মাঝারি প্রভাব ফেলে",Very high pressure,Definitely discontinue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,বেশি,বেশি,মাঝারি,বেশি,বেশি,বেশি,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,3.00–3.49,75%–89%,1–2 hours / ১–২ ঘণ্টা,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",High pressure / বেশি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Definitely continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Agree / সম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably continue
18–25,Male / পুরুষ,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Disagree / অসম্মত,No / না,2.50–2.99,2.50–2.99,90% or above / ৯০% বা তার বেশি,2–4 hours / ২–৪ ঘণ্টা,No,No / না,No pressure / কোনো চাপ নেই,"Yes, but it does not affect my study / করি, তবে পড়াশোনায় প্রভাব ফেলে না",High pressure,Not sure
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,বেশি,মাঝারি,বেশি,বেশি,বেশি,মাঝারি,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Neutral / নিরপেক্ষ,Agree / সম্মত,Sometimes / মাঝে মাঝে,3.00–3.49,3.00–3.49,65%–74%,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Probably discontinue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,মাঝারি,মাঝারি,বেশি,সামান্য/নেই,Moderate / মাঝারি,4–6 hours / ৪–৬ ঘণ্টা,Agree / সম্মত,Strongly agree / সম্পূর্ণ সম্মত,Disagree / অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Moderate pressure,Definitely continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,Moderate / মাঝারি,2–4 hours / ২–৪ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Disagree / অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,No / না,Low pressure / কম চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,সামান্য/নেই,মাঝারি,মাঝারি,মাঝারি,মাঝারি,সামান্য/নেই,High / বেশি,1–2 hours / ১–২ ঘণ্টা,Agree / সম্মত,Agree / সম্মত,Agree / সম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,More than 4 hours / ৪ ঘণ্টার বেশি,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,Very high pressure,Definitely discontinue
18–25,Female / নারী,4th semester / ৪র্থ সেমিস্টার,মাঝারি,মাঝারি,"সামান্য/নেই, মাঝারি",সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,High / বেশি,4–6 hours / ৪–৬ ঘণ্টা,Strongly agree / সম্পূর্ণ সম্মত,Neutral / নিরপেক্ষ,Disagree / অসম্মত,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,1–2 hours / ১–২ ঘণ্টা,No,No / না,Moderate pressure / মাঝারি চাপ,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,High pressure,Probably continue
18–25,Male / পুরুষ,7th semester / 4th year / ৭ম সেমিস্টার / ৪র্থ বর্ষ,মাঝারি,সামান্য/নেই,সামান্য/নেই,সামান্য/নেই,মাঝারি,বেশি,Low / কম,More than 6 hours / ৬ ঘণ্টার বেশি,Strongly agree / সম্পূর্ণ সম্মত,Agree / সম্মত,Neutral / নিরপেক্ষ,No / না,3.50–4.00,3.50–4.00,90% or above / ৯০% বা তার বেশি,Less than 1 hour / ১ ঘণ্টার কম,No,"Yes, slightly / হ্যাঁ, সামান্য কমেছে",No pressure / কোনো চাপ নেই,I do not do part-time work / আমি পার্ট-টাইম কাজ করি না,No pressure,Not sure
